TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
「111-2高優計畫111-D-1-3資訊融入教學--無線網路基地台」財物採購案,桃園市立大園國際高級中等學校,三勝資訊股份有限公司,,228000,1
「111年度電腦網路及硬體設備維護」採購案,財政部財政人員訓練所,鴻名企業股份有限公司,,756000,1
「111年度輔導在地農會創新發展農村經濟事業計畫-臺中市大安區農會飛天豬網路整合行銷計畫」採購案,臺中市大安區農會,華瑞資訊股份有限公司,華越資通企管顧問有限公司,700000,1
「111年國際網路資安認證教育訓練」採購案,法務部調查局,精誠資訊股份有限公司復興分公司,全智網科技股份有限公司,774000,1
「111年網路駭侵鑑識分析調查平臺設備擴充及延長授權」採購案,法務部調查局,凌群電腦股份有限公司,,17590000,1
「111年網路儲存系統及網路設備維護服務」採購案,臺銀人壽保險股份有限公司,凌群電腦股份有限公司,,930000,1
「111年網路鑑識與網路安全監控系統擴充」採購案,法務部調查局,中華電信股份有限公司企業客戶分公司,,9300000,1
「112年內部網路法律查詢系統」採購案,財政部南區國稅局,植根國際資訊股份有限公司,,144400,1
「112年度網路藝學園暨行動藝學園APP維護管理」採購案,國立臺灣藝術教育館,旭聯科技股份有限公司,,315000,1
「112年機房網路設備、伺服器及發電機維護」勞務採購案,行政院農業委員會高雄區農業改良場,仁通資訊股份有限公司,,260000,1
「2023台灣燈會在台北」12行政區特色燈區網路行銷影片暨環景拍攝勞務採購案,臺北市政府民政局,源日有限公司,杰瑞創造有限公司,895000,1
「DREAMS異地備援(含異地備援建置、資安防護強化、軟體功能擴充)」設備財物採購案,台灣電力股份有限公司,中華電信股份有限公司企業客戶分公司,,43428000,1
「e起學族語」網路平台建置勞務採購案,新北市蘆洲區仁愛國民小學,德昌印刷廠股份有限公司,,120000,1
「我國網路詐欺被害調查與防制研究」委託研究案,法務部司法官學院,中央警察大學,國立中正大學,814000,1
「常設展廳網頁製作與資安檢測」,國立科學工藝博物館,美寶人文科技股份有限公司,,810000,1
「推動中小學數位學習精進方案」111年高級中學學校實施計畫之無線網路基地台建置,臺北市私立衛理女子高級中學,東宜資訊股份有限公司,,787500,1
「推動中小學數位學習精進方案」111年國民中小學實施計畫資訊設備採購「網路分享器」,臺北市立木柵高級工業職業學校,友訊科技股份有限公司台灣分公司,,980000,1
「無線網路基地台建置」財物採購案,臺北市私立開平餐飲職業學校,翊顥科技股份有限公司,,830000,1
「資安鑑識實驗室南部延伸實驗室鑑識設備」採購案,法務部調查局高雄市調查處,仁大資訊股份有限公司,,956400,1
「電子金融伺服器配合網路銀行交易確認控管機制增修功能二年維護」採購案,臺灣銀行股份有限公司,普鴻資訊股份有限公司,,182000,1
「預報作業室網路交換設備汰換升級採購」案,交通部中央氣象局,新加坡商網達先進科技有限公司台灣分公司,,688000,1
「網路分析儀」財物採購案,國立屏東大學,鼎瀚科技股份有限公司,,538000,1
「網路防火牆」採購案,國立基隆高級中學,翊顥科技股份有限公司,日昇電腦有限公司,560000,1
「臺灣學術網路(TANet)內容傳遞網路建置計畫-第2期」採購案,國立東華大學,台灣固網股份有限公司,,145000000,1
106年租賃支局網路設備(第1期) (契約變更增帳),中華郵政股份有限公司,駿永資訊科技股份有限公司,,13365882,1
106年租賃支局網路設備(第1期)契約變更增帳,中華郵政股份有限公司,駿永資訊科技股份有限公司,,11149992,1
106年租賃支局網路設備(第2期)(契約變更增帳),中華郵政股份有限公司,駿永資訊科技股份有限公司,,49248900,1
109-111年紅隊演練暨第三方資安稽核及驗證服務-第1次契約變更,臺北市政府資訊局,戴夫寇爾股份有限公司,,10984820,1
10G網路交換路由器擴充暨架構調整改善案,國立中央大學,豪勉科技股份有限公司,,864310,1
10G網路設備,國防醫學院,菁智科技股份有限公司,,500000,1
10倍光學可動式網路攝影機1批,國立臺灣大學醫學院附設醫院,榮恩國際有限公司,,380000,1
111 年度電腦主機硬體設備、套裝軟體、網路維護,臺北市政府衛生局,高晨資訊有限公司,,3300000,1
111 年無線網路基地台(AP)建置,高雄市私立復華高級中學,允傳科技股份有限公司,,330000,1
1110201-推動中小學數位學習精進方案--校園無線網路AP採購案,國立臺南大學附設實驗國民小學,大同世界科技股份有限公司,,980000,1
111-112年度網路資訊安全防護監控服務專案工作計畫,行政院環境保護署,安碁資訊股份有限公司,,18700000,1
