SourceFile,RangeStartDate,RangeEndDate,AwardDate,AwardNoticeDate,TenderCaseNo,TenderName,TenderOrgName,TenderOrgAddr,ContactPerson,TenderTel,ProcurementType,ProcurementAttr,TenderAwardWay,TenderAwardPrice,BidderSuppName,BidderSuppAddr,NotObtainSuppName
award_20250101.xml,2025/01/01,2025/01/15,2025/01/07,2025/01/15,114-4-1005,114年租用網際網路固接專線(含DDos)及共用光纖網路第1線路8年,中華郵政股份有限公司,106臺北市大安區金山南路2段55號,陳韋翰,(02)23921310分機2310,公開招標,財物類,最低標,22367808,遠傳電信股份有限公司系統整合分公司,114臺北市內湖區瑞光路468號5樓,中華電信股份有限公司企業客戶分公司
award_20250101.xml,2025/01/01,2025/01/15,2025/01/10,2025/01/15,1140501,114年度臺北市懷愛館電子輓聯及網路公祭委託專業服務案,臺北市殯葬管理處,106臺北市大安區辛亥路3段330號4樓,招標：林小姐；履約：王小姐,(02)87329686分機29726,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,3380000,理太科技股份有限公司,408臺中市南屯區五權西路二段666號9樓之3之1,
award_20250101.xml,2025/01/01,2025/01/15,2025/01/14,2025/01/17,L0213P1134R,114年網路系統軟、硬體設備維護案,國營臺灣鐵路股份有限公司,100臺北市中正區北平西路3號,招標 供應處 梁小姐/履約 數位發展處 余先生,(02)23815226分機4902/2694,公開招標,勞務類,最低標,28845000,德博科技股份有限公司,220新北市板橋區中山路1段1號13樓之26,惠陽電腦有限公司
award_20250101.xml,2025/01/01,2025/01/15,2025/01/15,2025/01/21,113112640,行政院主計總處「114年網路填報相關系統功能增修及維護案」勞務採購案,行政院主計總處,100臺北市中正區台北市忠孝東路一段一號,蕭先生,(02)33567537分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,4465000,三商電腦股份有限公司 (MERCURIES DATA SYSTEMS LTD.),110臺北市信義區信義路五段150巷2號4樓之3,
award_20250102.xml,2025/01/16,2025/01/31,2025/01/17,2025/01/21,11314002830,經濟部「114年電腦主機與網路基礎設施相關硬體維護案」,經濟部,100臺北市中正區福州街15號,郭康琳,(02)23212200分機8686,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,11000000,"藍新資訊股份有限公司 (NEWEB INFORMATION CO., LTD)",114臺北市內湖區行忠路42號2樓,敦陽科技股份有限公司 (STARK TECHNOLOGY INC.)
award_20250102.xml,2025/01/16,2025/01/31,2025/01/20,2025/02/04,ADI-114121404,後量子安全暨供應鏈資安推動計畫,數位發展部數位產業署,100臺北市中正區忠孝西路1段66號20樓,賴佩祺,(02)23808412分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,179700000,財團法人資訊工業策進會,106臺北市大安區和平東路二段106號11樓,
award_20250201.xml,2025/02/01,2025/02/15,2025/02/12,2025/02/14,ADI-114121405,資安產業跨域聯防推動計畫,數位發展部數位產業署,100臺北市中正區忠孝西路1段66號20樓,謝書華,(02)23808414分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,170000000,財團法人工業技術研究院,310新竹縣竹東鎮中興路四段195號,
award_20250202.xml,2025/02/16,2025/02/28,2025/02/19,2025/02/21,S1130690722,114年度資安治理精進案,衛生福利部中央健康保險署,106臺北市大安區信義路三段140號,規格李先生/採購郭小姐,(02)27065866分機2258/2714,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,2520000,數聯資安股份有限公司,114臺北市內湖區港墘路220號6樓,漢昕科技股份有限公司 (BUSINESS CONTINUITY COMPUTING SYSTEM INC.)
award_20250202.xml,2025/02/16,2025/02/28,2025/02/25,2025/03/04,ADI-114121402,資安深耕及沙崙實驗計畫,數位發展部數位產業署,100臺北市中正區忠孝西路1段66號20樓,陳宇志,(02)23808415分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,96300000,財團法人資訊工業策進會,106臺北市大安區和平東路二段106號11樓,
award_20250301.xml,2025/03/01,2025/03/15,2025/03/04,2025/03/06,114AC004,114-117年度電子郵件、共用行事曆及網路磁碟整合服務案,環境部,100臺北市中正區中華路一段83號,曾灼灼;陳怡燁,(02)23117722分機2343;2496,公開招標,財物類,最低標,21866713,馬來西亞商思想科技有限公司台灣分公司,104臺北市中山區民權東路1段45號7樓,
award_20250301.xml,2025/03/01,2025/03/15,2025/03/11,2025/03/12,114-4-1009,114年租賃總公司暨責任中心局網路設備,中華郵政股份有限公司,106臺北市大安區金山南路2段55號,曹浩峯,(02)23921310分機2317,限制性招標(未經公開評選或公開徵求),財物類,最低標,83000000,駿永資訊科技股份有限公司,100臺北市中正區北平東路30號5樓,
award_20250302.xml,2025/03/16,2025/03/31,2025/03/26,2025/03/28,PTOB1130901D,網路通訊設備,內政部警政署警察通訊所,116臺北市文山區萬盛街15號之1,蔡釆蓁,(02)29317213分機5088,公開招標,財物類,最低標,4876725,瑞虹科技股份有限公司,241新北市三重區仁愛街245巷48號,陞陽科技事業股份有限公司
award_20250302.xml,2025/03/16,2025/03/31,2025/03/28,2025/04/02,CGA114005,海巡網路電話系統與電話交換機系統汰換計畫,海洋委員會海巡署,116臺北市文山區興隆路3段296號,王敏利,(02)22399201分機266426,公開招標,財物類,最有利標,394382490,遠傳電信股份有限公司系統整合分公司,114臺北市內湖區瑞光路468號5樓,台灣固網股份有限公司
award_20250302.xml,2025/03/16,2025/03/31,2025/03/21,2025/04/23,114KCH06,114年警政資安聯防紅隊演練服務案,內政部警政署,100臺北市中正區忠孝東路一段7號,郭家豪,(02)23944524分機6310,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,17410000,"戴夫寇爾股份有限公司 (DEVCORE Co., Ltd.)",105臺北市松山區八德路3段32號13樓,
award_20250302.xml,2025/03/16,2025/03/31,2025/03/21,2025/03/28,KC11403,114年警政資安威脅聯防建置案,內政部警政署,100臺北市中正區忠孝東路1段7號,邱冠程,(02)23219011分機6311,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,49000000,精誠科技整合股份有限公司 (Systex Solutions Corporation),114臺北市內湖區瑞光路318號6樓,
award_20250302.xml,2025/03/16,2025/03/31,2025/03/24,2025/04/15,its114-002,「114-117年中央研究院國際網路專線服務」採購案,中央研究院,115臺北市南港區研究院路二段128號,張康菁,(02)27898874分機,公開招標,勞務類,最有利標,191230000,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路4段88號16樓,台灣固網股份有限公司
award_20250302.xml,2025/03/16,2025/03/31,2025/03/28,2025/03/31,11314002370,經濟部「114年關鍵基礎設施資安聯防服務案」,經濟部,100臺北市中正區福州街15號,曾韋傑,(02)23212200分機1041,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,13000000,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),115臺北市南港區南港路3段9號13樓,
award_20250501.xml,2025/05/01,2025/05/15,2025/05/07,2025/06/05,0061300013,建置基於PI系統架構的數據儲存展示應用系統及其高雄異地備援系統,台灣電力股份有限公司,100臺北市中正區羅斯福路三段242號25樓,賴誼禾,(02)23665881分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,23413092,薈智創新科技股份有限公司 (IIoTFab Inc.),813高雄市左營區博愛二路366號11樓之2,台灣橫河股份有限公司高雄分公司
award_20250601.xml,2025/06/01,2025/06/15,2025/06/13,2025/06/23,0241400007,資料中心網路服務設備建置服務,台灣電力股份有限公司,100臺北市中正區羅斯福路3段242號,蔡正德,(02)23666994分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,189271748,淮南寰宇股份有限公司,241新北市三重區重新路4段97號20樓,
award_20250602.xml,2025/06/16,2025/06/30,2025/06/25,2025/07/01,1140508P0038,114年臺北市教育網路中心資訊設備採購案,臺北市政府工務局,110臺北市信義區市府路1號南區3樓,陳明慧,(02)27208889分機1131,公開招標,財物類,最有利標,29998500,力麗科技股份有限公司,104臺北市中山區松江路162號11樓,
award_20250602.xml,2025/06/16,2025/06/30,2025/06/27,2025/07/21,1140012,「財政部114年度伺服主機、網路暨端末設備維護案」,財政部,116臺北市文山區羅斯福路6段142巷1號,"林小姐,高先生","(02)23228000分機8269,7503",經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,4400000,朔方科技股份有限公司,333桃園市龜山區牛角坡6-26號(1樓),
award_20250701.xml,2025/07/01,2025/07/15,2025/07/08,2025/07/09,113241911B,國內車聯網資安憑證管理機制實證研究計畫,交通部,100臺北市中正區仁愛路1段50號,彭久晏/陳律安,(02)23492869分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,14613000,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路4段88號16樓,
award_20250701.xml,2025/07/01,2025/07/15,2025/07/08,2025/07/09,D114019,學術網路暨友校國際連線租用案,國立陽明交通大學,30001新竹市東區大學路1001號,張馥薇,(03)5712121分機52109,公開招標,財物類,最有利標,19500000,遠傳電信股份有限公司系統整合分公司,114臺北市內湖區瑞光路468號5樓,中華電信股份有限公司企業客戶分公司
award_20250701.xml,2025/07/01,2025/07/15,2025/07/09,2025/07/16,ZD114021,114年度政府網際服務網 資安設備軟體授權採購案,數位發展部,100臺北市中正區延平南路143號,周怡彣,(02)23800522分機,限制性招標(未經公開評選或公開徵求),財物類,最低標,7222000,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路4段88號16樓,
award_20250701.xml,2025/07/01,2025/07/15,2025/07/15,2025/07/16,114-4-1117,網路暨行動保險服務增修暨維護,中華郵政股份有限公司,106臺北市大安區金山南路2段55號,曹浩峯,(02)23921310分機2317,限制性招標(未經公開評選或公開徵求),勞務類,最低標,11060000,精誠資訊股份有限公司 (Systex  Corporation),114臺北市內湖區瑞光路318號,
award_20250702.xml,2025/07/16,2025/07/31,2025/07/16,2025/07/18,114AA091,114-115年度網路資訊安全防護監控服務專案工作計畫,環境部,100臺北市中正區中華路一段83號,黃柏禎;陳怡燁,(02)23117722分機2346;2496,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,19493000,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),115臺北市南港區南港路3段9號13樓,
award_20250702.xml,2025/07/16,2025/07/31,2025/07/17,2025/07/21,11414000030,經濟部「114年強化資料中心網路基礎建設韌性案」,經濟部,100臺北市中正區福州街15號,施佳伶,(02)23212200分機8702,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,18400000,台灣艾維登股份有限公司 (Eviden(Taiwan) Ltd.),105臺北市松山區民生東路3段100號5樓,
award_20250702.xml,2025/07/16,2025/07/31,2025/07/22,2025/08/07,114211,地政資訊網路e點通服務系統委託整合建置暨營運案,臺北市政府地政局,110臺北市信義區市府路一號3樓低北區,謝明融,(02)27287378分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,200000000,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路4段88號16樓,
award_20250702.xml,2025/07/16,2025/07/31,2025/07/24,2025/07/25,114-4-1132,網路郵局系統增修暨維護,中華郵政股份有限公司,106臺北市大安區金山南路2段55號,陳韋翰,(02)23921310分機2310,限制性招標(未經公開評選或公開徵求),勞務類,最低標,12480000,康和資訊系統股份有限公司 (Concord System Management Corporation),114臺北市內湖區瑞光路318號5樓,
award_20250702.xml,2025/07/16,2025/07/31,2025/07/31,2025/08/21,its114-025,「114-116年中央研究院網路基礎設施維護及租用」採購案,中央研究院,115臺北市南港區研究院路二段128號,張康菁,(02)27898874分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,14000000,台灣固網股份有限公司,106臺北市大安區基隆路二段172-1號16樓,
award_20250801.xml,2025/08/01,2025/08/15,2025/08/08,2025/08/11,PA2401247,網路電話設備採購案1式,國立臺灣大學醫學院附設醫院,100臺北市中正區中山南路7號,陳玉霞,(02)23562043分機,限制性招標(未經公開評選或公開徵求),財物類,最低標,29137000,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路4段88號16樓,
award_20250801.xml,2025/08/01,2025/08/15,2025/08/08,2025/08/11,1140816,核心網路交換器暨系統主機使用服務計畫,經濟部產業發展署,106臺北市大安區信義路三段41-3號,宋欣憶(事務科),(02)27541255分機2282,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,4450000,新加坡商網達先進科技有限公司台灣分公司,105臺北市松山區民生東路三段109號13樓,
award_20250801.xml,2025/08/01,2025/08/15,2025/08/11,2025/08/21,114051411,2025-2026年澳紐地區台灣觀光網路媒體暨戶外廣告宣傳案,交通部觀光署,999其他詳如附加說明,翁昌珊,(65)62236546分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,16899000,Publisher’s Internationale Pty Ltd,"999其他'1203'83 Mount Street, North Sydney, NSW 2060",
award_20250802.xml,2025/08/16,2025/08/31,2025/08/19,2025/09/09,0771400003,DREAMS功能性擴充(含微電網介接、資安防護強化及軟硬體功能擴充),台灣電力股份有限公司,100臺北市中正區羅斯福路3段242號6樓,賴柏羽,(02)23666667分機,公開招標,財物類,最低標,54573750,中華電信股份有限公司企業客戶分公司,106臺北市大安區信義路4段88號16樓,
award_20250802.xml,2025/08/16,2025/08/31,2025/08/25,2025/08/27,ADI-114091401,半導體智慧製造資安認驗證先導推動計畫,數位發展部數位產業署,100臺北市中正區忠孝西路1段66號20樓,吳孟錫,(02)23808434分機,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,19000000,財團法人資訊工業策進會,106臺北市大安區和平東路二段106號11樓,勤業眾信管理顧問股份有限公司 (Deloitte & Touche Consulting Co.)
award_20250902.xml,2025/09/16,2025/09/30,2025/09/26,2025/10/01,NPM114062,115-117年度國立故宮博物院附設博物館商店暨網路商城服務委託經營管理案,國立故宮博物院,111臺北市士林區至善路二段221號,行銷業務處/楊雅蘭、秘書室/李小姐,(02)28812021分機2103/2283,經公開評選或公開徵求之限制性招標,勞務類,準用最有利標,230239500,台灣碩網網路娛樂股份有限公司,115臺北市南港區三重路19之13號E棟11樓,時藝多媒體傳播股份有限公司 (Mediasphere Communications Ltd.)
award_20251001.xml,2025/10/01,2025/10/15,2025/10/15,2025/10/28,NPM112046-1,112年度國立故宮博物院附設博物館商店暨網路商城服務委託經營管理案第一次契約變更,國立故宮博物院,111臺北市士林區力行街11號,行銷處/楊雅蘭.秘書室/李小姐,(02)28812021分機2103/2283,限制性招標(未經公開評選或公開徵求),勞務類,最低標,13920603,台灣碩網網路娛樂股份有限公司,115臺北市南港區三重路19之13號11樓,
award_20251002.xml,2025/10/16,2025/10/31,2025/10/27,2025/11/04,11485NT,115年資安設備及雲端郵件系統授權更新維護,農業部農糧署,540南投縣南投市光華路8號,許佩蓉,(049)2332380分機1039,公開招標,財物類,最低標,10000000,逸盈科技股份有限公司,105臺北市松山區八德路4段760號7樓,
