TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
國立陽明交通大學學術網路暨友校國內專屬骨幹網路連線服務案,國立陽明交通大學,中華電信股份有限公司臺灣北區電信分公司,,23820000,1
國立陽明交通大學學術網路暨友校國際連線服務案,國立陽明交通大學,台灣恩悌悌系統股份有限公司,中華電信股份有限公司國際電信分公司,19700000,1
國有公用財產管理系統網路版營運服務案,財政部國有財產署,關貿網路股份有限公司,,8070000,1
國際郵件追踨查詢系統網路使用,中華郵政股份有限公司,天河電訊股份有限公司,,110000000,1
教育部因應疫情第2次租用無線網路分享器開口契約採購案,教育部,桔豐科技股份有限公司,,9225000,1
第一、二航廈系統及網路資源整合案,桃園國際機場股份有限公司,資拓宏宇國際股份有限公司,亞太電信股份有限公司,179000000,1
軟體定義網路建置採購案,交通部中央氣象局,新加坡商網達先進科技有限公司台灣分公司,,11000000,1
經濟部110年共構資料中心網路與資訊服務平台優化專案,經濟部,台灣源訊科技股份有限公司,,18530000,1
經濟部110年度「網路零售資安聯防計畫」,經濟部,財團法人資訊工業策進會,,8131000,1
經濟部110年資安整合聯防機制服務專案,經濟部,安碁資訊股份有限公司,,23276000,1
資安監控暨設備維護委外服務採購案,內政部空中勤務總隊,展昇資訊股份有限公司,,5700000,1
資通安全防護監控系統、網路傳輸及終端軟、硬體設施淘汰計畫-110年度伺服器,海洋委員會海巡署,凱穩電腦股份有限公司,伯仲國際股份有限公司,8487800,1
電腦端點資安偵測與回應系統三年期1式,國立臺灣大學醫學院附設醫院,中孚科技股份有限公司,技成科技股份有限公司,61652000,1
網路服務防疫系統架構調整精進健保卡身分識別作業開發案,衛生福利部中央健康保險署,凌群電腦股份有限公司,,6500000,1
網路設備汰換及擴充,臺北榮民總醫院,永磐科技股份有限公司,,14553900,1
網路設備汰換與擴充,臺北榮民總醫院,永磐科技股份有限公司,,19541911,1
網路郵局系統應用軟體增修暨維護,中華郵政股份有限公司,康和資訊系統股份有限公司,,12005000,1
網路暨行動投保服務(行動投保系統)應用軟體增修暨維護,中華郵政股份有限公司,精誠資訊股份有限公司,,6125000,1
網路購物環境健全發展計畫,經濟部,財團法人資訊工業策進會,財團法人商業發展研究院,16355000,1
網際網路自動櫃員機系統應用軟體增修暨維護服務,中華郵政股份有限公司,網際威信股份有限公司,,9388000,1
網際網路金融交易跨行支付平臺系統應用軟體增修暨維護服務,中華郵政股份有限公司,網際威信股份有限公司,,9200000,1
臺北市教育網路中心骨幹分流設備及其他資訊設備採購案,臺北市政府工務局,安碁資訊股份有限公司,大同股份有限公司,15550000,1
臺北市教育網路中心暨親師生平臺資訊設備採購案,臺北市政府,力麗科技股份有限公司,采誠科技股份有限公司,29236200,1
數位網路電話交換機系統租賃案,經濟部中小企業處,中華電信股份有限公司企業客戶分公司,陞陽科技事業股份有限公司,6254976,1
整合性資安監控中心建置案,財政部財政資訊中心,安碁資訊股份有限公司,關貿網路股份有限公司,95784035,1
