TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
「114-116年中央研究院網路基礎設施維護及租用」採購案,中央研究院,台灣固網股份有限公司,,14000000,1
「114-117年中央研究院國際網路專線服務」採購案,中央研究院,中華電信股份有限公司企業客戶分公司,台灣固網股份有限公司,191230000,1
「財政部114年度伺服主機、網路暨端末設備維護案」,財政部,朔方科技股份有限公司,,4400000,1
112年度國立故宮博物院附設博物館商店暨網路商城服務委託經營管理案第一次契約變更,國立故宮博物院,台灣碩網網路娛樂股份有限公司,,13920603,1
114-115年度網路資訊安全防護監控服務專案工作計畫,環境部,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),,19493000,1
114-117年度電子郵件、共用行事曆及網路磁碟整合服務案,環境部,馬來西亞商思想科技有限公司台灣分公司,,21866713,1
114年北部院區無線網路建置採購案,國立故宮博物院,擎昊科技股份有限公司 (KINMAX TECHNOLOGY INC.),展昇資訊股份有限公司,5348822,1
114年度政府網際服務網 資安設備軟體授權採購案,數位發展部,中華電信股份有限公司企業客戶分公司,,7222000,1
114年度軟體定義網路設備採購案,交通部中央氣象署,新加坡商網達先進科技有限公司台灣分公司,,9520000,1
114年度資安治理精進案,衛生福利部中央健康保險署,數聯資安股份有限公司,漢昕科技股份有限公司 (BUSINESS CONTINUITY COMPUTING SYSTEM INC.),2520000,1
114年度農田水利署防災小組會議室及周邊網路環境建置採購案,農業部農田水利署,惠國科技股份有限公司,,6000000,1
114年度臺北市懷愛館電子輓聯及網路公祭委託專業服務案,臺北市殯葬管理處,理太科技股份有限公司,,3380000,1
114年租用網際網路固接專線(含DDos)及共用光纖網路第1線路8年,中華郵政股份有限公司,遠傳電信股份有限公司系統整合分公司,中華電信股份有限公司企業客戶分公司,22367808,1
114年租賃總公司暨責任中心局網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,,83000000,1
114年網路系統軟、硬體設備維護案,國營臺灣鐵路股份有限公司,德博科技股份有限公司,惠陽電腦有限公司,28845000,1
114年臺北市各級學校校內核心網路交換器汰換採購案,臺北市政府工務局,群曜數位科技股份有限公司 (ChyunYao Digitalization Technology INC.),凌群電腦股份有限公司 (SYSCOM  COMPUTER  ENGINEERING  COMPANY),26320000,1
114年臺北市教育網路中心資訊設備採購案,臺北市政府工務局,力麗科技股份有限公司,,29998500,1
114年警政資安威脅聯防建置案,內政部警政署,精誠科技整合股份有限公司 (Systex Solutions Corporation),,49000000,1
114年警政資安聯防紅隊演練服務案,內政部警政署,"戴夫寇爾股份有限公司 (DEVCORE Co., Ltd.)",,17410000,1
115-117年度民用航空局及所屬機關資安監控委外服務,交通部民用航空局,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),,19800000,1
115-117年度國立故宮博物院附設博物館商店暨網路商城服務委託經營管理案,國立故宮博物院,台灣碩網網路娛樂股份有限公司,時藝多媒體傳播股份有限公司 (Mediasphere Communications Ltd.),230239500,1
115年資安設備及雲端郵件系統授權更新維護,農業部農糧署,逸盈科技股份有限公司,,10000000,1
115年資安設備維護及技術服務委託案,內政部警政署,精誠科技整合股份有限公司 (Systex Solutions Corporation),,29554700,1
115年電腦、網路及周邊等設備維護服務案,內政部警政署,精誠科技整合股份有限公司 (Systex Solutions Corporation),,53100000,1
115年網路系統軟、硬體設備維護案,國營臺灣鐵路股份有限公司,凌群電腦股份有限公司 (SYSCOM  COMPUTER  ENGINEERING  COMPANY),,44807351,1
115至117年資料中心基礎設施暨資安維運案,經濟部產業園區管理局,知能系統整合股份有限公司,,330786000,1
2025-2026年澳紐地區台灣觀光網路媒體暨戶外廣告宣傳案,交通部觀光署,Publisher’s Internationale Pty Ltd,,16899000,1
DREAMS功能性擴充(含微電網介接、資安防護強化及軟硬體功能擴充),台灣電力股份有限公司,中華電信股份有限公司企業客戶分公司,,54573750,1
