TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
「112年東南亞暨113年之美西亞太國際網路專線服務」採購案,中央研究院,中華電信股份有限公司企業客戶分公司,台灣固網股份有限公司,52700000,1
「112年度行銷彰化縣就業服務措施及相關法規宣導-網路宣導」勞務採購案,彰化縣政府,鴻星數位科技股份有限公司,新世紀公共事務有限公司,934000,1
107年租賃支局網路設備(契約變更增帳),中華郵政股份有限公司,駿永資訊科技股份有限公司,,12088017,1
112-113年「國家文化記憶庫及數位博物館應用計畫之資料儲存設備、儲存區域網路交換器及伺服器零組件採購案」,文化部,展昇資訊股份有限公司,,20800000,1
112-113年度網路資訊安全防護監控服務專案工作計畫,行政院環境保護署,安碁資訊股份有限公司,,19120000,1
112-114年電腦周邊設備維護與資安網路管理案,環境部化學物質管理署,宏碁雲架構服務股份有限公司,,9140000,1
112-115年臺北市政府市政網路管理維運服務案,臺北市政府資訊局,宏碁雲架構服務股份有限公司,大同股份有限公司,63448500,1
112年北區水資源局網路交換器升級,經濟部水利署北區水資源局,勝禾科技股份有限公司,,9550790,1
112年度外國人就業服務措施及相關法令宣導計畫-網路暨電視宣導,彰化縣政府,鴻星數位科技股份有限公司,豪萬整合行銷有限公司,1113400,1
112年度健保點值結算、醫療資訊系統架構調整暨新增功能採購案,衛生福利部中央健康保險署,資拓宏宇國際股份有限公司,,42500000,1
112年度強化警政資安暨資料庫韌性建置案,內政部警政署,精誠科技整合股份有限公司,,19378800,1
112年度軟體定義網路設備採購,交通部中央氣象局,新加坡商網達先進科技有限公司台灣分公司,,7232548,1
112年度網路服務平臺整合案,衛生福利部中央健康保險署,凌群電腦股份有限公司,,6700000,1
112年度警政署強化網路架構韌性案,內政部警政署,精誠科技整合股份有限公司,,23008000,1
112年核心網路設備更新建置案,經濟部智慧財產局,敦陽資訊股份有限公司,,6819000,1
112年租用郵政E大學網際網路服務固接專線電路5年,中華郵政股份有限公司,台灣固網股份有限公司,中華電信股份有限公司企業客戶分公司,2376000,1
112年租賃支局網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,,87950000,1
112年財政部財政資訊中心暨各地區國稅局網路資安設備規劃建置移轉案,財政部財政資訊中心,中華電信股份有限公司企業客戶分公司,大同股份有限公司,138000000,1
112年資安設備及雲端郵件系統授權更新維護案,農業部農糧署,逸盈科技股份有限公司,,10450000,1
112年資訊安全管理制度ISMS維運及轉版驗證暨資安治理成熟度導入案,桃園國際機場股份有限公司,勤業眾信聯合會計師事務所,,7976850,1
112至114年資料中心基礎設施暨資安維運案第1次契約變更,經濟部產業園區管理局,駿永資訊科技股份有限公司,,59375000,1
113、114年中華郵政臨櫃代收、郵政儲金帳戶約定扣款、語音、網路即時轉帳繳納各項公路監理資費,交通部公路局,中華郵政股份有限公司,,34961110,1
113年度資安設備維護暨技術服務委託案,內政部警政署,精誠科技整合股份有限公司,,29868000,1
113年度電腦、網路及周邊等設備維護服務案,內政部警政署,精誠科技整合股份有限公司,,49517666,1
113年桃園國際機場無線網路系統維護案,桃園國際機場股份有限公司,遠傳電信股份有限公司系統整合分公司,,8790000,1
113年租賃總公司暨責任中心局網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,,42110000,1
113年資安暨智慧科技研發大樓機電設備維護,財團法人國家實驗研究院,正霖空調工程有限公司,泰靜電機興業有限公司,6850000,1
113年資安暨智慧科技研發大樓環境清潔暨植栽養護,財團法人國家實驗研究院,建勝清潔企業社,大棠環境清潔有限公司,4643436,1
113年彰化縣政府電視暨網路新聞輿情蒐報服務勞務採購案,彰化縣政府,潤利艾克曼國際事業有限公司,,1358885,1
113年網路系統軟、硬體設備維護案,交通部臺灣鐵路管理局,德博科技股份有限公司,殷諾科技股份有限公司,16420000,1
2023-2024年澳紐地區臺灣觀光網路媒體廣告宣傳案,交通部觀光局,Publisher’s Internationale Pty Ltd,傳晞國際傳媒有限公司,5979015,1
2023臺中國際花毯節網路媒體行銷,臺中市政府新聞局,中天電視股份有限公司,宇匯知識科技股份有限公司,800000,1
支付卡產業安全標準認證輔導暨資安服務案,桃園大眾捷運股份有限公司,三商電腦股份有限公司,漢昕科技股份有限公司,969990,1
車載號誌2.4GHz乙太網路展頻無線電單元採購,桃園大眾捷運股份有限公司,鑫盛達貿易有限公司,慎昌貿易有限公司,1239000,1
租賃郵政物流園區資訊中心網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,,67500000,1
租賃網路監管作業中心平臺及監控服務,中華郵政股份有限公司,驊宏資通股份有限公司,,63700000,1
國有公用財產管理系統網路版營運服務案,財政部國有財產署,關貿網路股份有限公司,,8700000,1
國際雲端與先進網路應用推廣計畫,數位發展部數位產業署,財團法人資訊工業策進會,,13250000,1
教育部國民及學前教育署向上集中機房資安設備租賃案,教育部國民及學前教育署,中華電信股份有限公司企業客戶分公司,,93150000,1
資安防護暨資訊設備維護採購案,內政部空中勤務總隊,展昇資訊股份有限公司,,16800000,1
資料中心網路建置案1式,國立臺灣大學醫學院附設醫院,中孚科技股份有限公司,思普股份有限公司,59500000,1
資通安全防護暨網路系統維護服務計畫,經濟部產業發展署,華電聯網股份有限公司,台灣基礎開發科技股份有限公司,12480000,1
網路威脅調查訓練平台使用授權(含紅藍隊網路攻防演練服務),中華郵政股份有限公司,豪勉科技股份有限公司,,8287160,1
網路設備汰換與擴充一批,臺北榮民總醫院,永磐科技股份有限公司,,14047694,1
網路設備採購案,勞動部勞動力發展署,敦陽科技股份有限公司,,16320000,1
網路郵局系統應用軟體增修暨維護,中華郵政股份有限公司,康和資訊系統股份有限公司,,12236000,1
網路郵寄便系統(EZPost)及i郵箱中臺增修暨維護服務專案,中華郵政股份有限公司,叡揚資訊股份有限公司,,9228750,1
網路暨行動投保服務應用軟體增修暨維護,中華郵政股份有限公司,精誠資訊股份有限公司,,10870000,1
網路監管作業服務專案(契約變更),中華郵政股份有限公司,驊宏資通股份有限公司,,14716656,1
網際網路金融交易跨行支付平臺系統應用軟體增修暨維護服務,中華郵政股份有限公司,網際威信股份有限公司,,14304000,1
臺中市政府112年度網路輿情議題分析暨施政改進研究勞務採購案,臺中市政府研究發展考核委員會,潮網科技股份有限公司,驚量有限公司,950000,1
臺北市各級學校112年廣域網路核心網路交換器及POE網路交換器採購建置案,臺北市政府工務局,凌群電腦股份有限公司,宏碁股份有限公司,39126158,1
