TenderName,TenderOrgName,BidderSuppName,NotObtainSuppName,TenderAwardPrice,Count
｢113-115年北美與歐亞國際網路專線暨本院網路設施維護服務｣採購案,中央研究院,台灣固網股份有限公司,,93650000,1
「網路設備暨防禦設施更新」採購案,中央研究院,台灣固網股份有限公司,,20820000,1
113-114年度網路資訊安全防護監控服務專案工作計畫,環境部,安碁資訊股份有限公司,,19490010,1
113-114年資訊設備維運服務、資安管理制度導入暨潮州大樓通訊機房整體規劃建置整合工作計畫,環境部資源循環署,宏碁雲架構服務股份有限公司,,19990000,1
113年「國家文化記憶庫及數位博物館應用計畫之本部共構機房及端點網路設備汰換採購案」,文化部,展昇資訊股份有限公司,凌群電腦股份有限公司 (SYSCOM  COMPUTER  ENGINEERING  COMPANY),11900000,1
113年至115年網路設備汰換暨iTaiwan無線網路服務提供財物採購案,核能安全委員會,敦陽科技股份有限公司,永磐資訊股份有限公司,21730000,1
113年汰換網路暨資安設備租賃案,臺北市政府工務局,東豐科技股份有限公司,,47950000,1
113年度健保點值結算、醫療資訊系統架構調整暨新增功能採購案,衛生福利部中央健康保險署,資拓宏宇國際股份有限公司,,45000000,1
113年度國土管理署及下水道工程分署網路交換器汰換及無線網路建置採購案,內政部國土管理署,技成科技股份有限公司,,7050000,1
113年度資安治理精進案,衛生福利部中央健康保險署,台灣應用軟件股份有限公司,,2400000,1
113年度網路服務平臺整合案,衛生福利部中央健康保險署,凌群電腦股份有限公司,,9700000,1
113年度臺灣大學校園網路電信系統擴充建置,國立臺灣大學,中華電信股份有限公司企業客戶分公司,,28080000,1
113年氣象觀測網路設備採購案,交通部中央氣象署,新加坡商網達先進科技有限公司台灣分公司,,11100000,1
113年臺北市教育網路中心資訊設備採購案,臺北市政府工務局,力麗科技股份有限公司,,29999970,1
113年臺北市教育網路中心儲存設備採購案,臺北市政府教育局,力麗科技股份有限公司,新碩資訊股份有限公司,20418888,1
114~116年度網路防火牆功能強化資訊服務計畫,經濟部產業發展署,豪勉科技股份有限公司 (Hauman Technologies Corp.),,6603000,1
114-116年骨幹及辦公網路維護案,桃園國際機場股份有限公司,華電聯網股份有限公司,,38997164,1
114-116年無線網路系統維護案,桃園國際機場股份有限公司,遠傳電信股份有限公司系統整合分公司,,29317965,1
114年台61線交控網路通訊品質強化工作,交通部公路局北區養護工程分局,傳典工程股份有限公司,台灣智慧光網股份有限公司,10198900,1
114年度電腦、網路及周邊等設備維護服務案,內政部警政署,精誠科技整合股份有限公司 (Systex Solutions Corporation),,50192180,1
114年租賃支局網路設備,中華郵政股份有限公司,駿永資訊科技股份有限公司,凌群電腦股份有限公司,224300000,1
114年資安設備及雲端郵件系統授權更新維護案,農業部農糧署,逸盈科技股份有限公司,,9300000,1
114年資安設備維護及技術服務委託案,內政部警政署,精誠科技整合股份有限公司 (Systex Solutions Corporation),,27966000,1
2024年核心網路升級案(第2次公開招標),國家表演藝術中心國家兩廳院,敦陽科技股份有限公司,,19800000,1
大學申請入學提升書審上傳系統效能磁碟陣列及網路設備採購案,國立中正大學,敦陽科技股份有限公司,,44650000,1
中央氣象署既有海纜觀測系統架構調整案,臺灣銀行股份有限公司,台灣恩益禧股份有限公司 (NEC TAIWAN LTD.),,389880000,1
中央氣象署暨所屬氣象站 GSN VPN 網路線路租賃案,交通部中央氣象署,中華電信股份有限公司企業客戶分公司,,26832040,1
中央氣象署暨所屬氣象站網路線路租賃案,交通部中央氣象署,中華電信股份有限公司企業客戶分公司,,6948852,1
公司級整體網路設備更新及擴充-骨幹核心網路升級建置,台灣電力股份有限公司,淮南寰宇股份有限公司,峰儀科技股份有限公司,217945367,1
台糖公司VPN、網際網路服務,台灣糖業股份有限公司,中華電信股份有限公司企業客戶分公司,,16067556,1
行政院主計總處「114年及115年普查網路填報系統資訊服務案」勞務採購案,行政院主計總處,三商電腦股份有限公司,,5445000,1
金融憑證網路轉帳服務系統汰換建置專案,中華郵政股份有限公司,網際威信股份有限公司,,14800000,1
國有公用財產管理系統網路版營運服務案,財政部國有財產署,關貿網路股份有限公司,,17050000,1
國際郵件追蹤查詢系統網路使用,中華郵政股份有限公司,天河電訊股份有限公司 (eSkylink Inc.),,130000000,1
經濟部「113年強化資料中心網路基礎建設韌性案」,經濟部,台灣艾維登股份有限公司,,9011936,1
經濟部「113年資安整合聯防機制服務案」,經濟部,安碁資訊股份有限公司,,23000000,1
經濟部「113年網路與系統平台架構調整案」,經濟部,台灣艾維登股份有限公司,,10560000,1
經濟部「113年關鍵基礎設施資安聯防服務案」,經濟部,安碁資訊股份有限公司,,13015000,1
經濟部「114年共構資料中心網路與資訊平台營運管理服務案」,經濟部,台灣艾維登股份有限公司 (Eviden(Taiwan) Ltd.),,16180000,1
經濟部「114年資安整合聯防機制服務案」,經濟部,安碁資訊股份有限公司 (Acer Cyber Security Incorporated),,12200000,1
網路郵局系統應用軟體增修暨維護,中華郵政股份有限公司,康和資訊系統股份有限公司,,12343000,1
網路暨行動投保服務應用軟體增修暨維護契約變更(追加費用),中華郵政股份有限公司,精誠資訊股份有限公司 (Systex  Corporation),,8085000,1
網路線佈線汰換暨光纖線路及網路設備擴充案,國立臺灣大學醫學院附設醫院,中孚科技股份有限公司,,184880000,1
網際網路自動櫃員機系統應用軟體增修暨維護服務,中華郵政股份有限公司,網際威信股份有限公司,,12839400,1
臺北市教育網路中心核心網路交換器及各級學校廣域網路交換器採購建置案,臺北市政府工務局,凌群電腦股份有限公司,,33987000,1
數位監視系統網路設備更新及寬頻改善,臺北榮民總醫院,中華電信股份有限公司企業客戶分公司,新亞科技有限公司,22880000,1
機房與辦公區域網路佈線更新採購案,交通部中央氣象署,藍新資訊股份有限公司,新加坡商網達先進科技有限公司台灣分公司,5500000,1
錄影監視系統傳輸網路備援服務採購案,臺北市政府工務局,中華電信股份有限公司企業客戶分公司,中嘉數位股份有限公司,458389600,1
應用手機網路信令探偵(CVP)技術提升交通資訊服務計畫,交通部公路局,中華電信股份有限公司企業客戶分公司,,13000000,1
